DAY,TIME,COURT,HOME,AWAY,,,,,,
THUR,11:30 AM,35,Indy Gym Rats Gold - 43,Wisconsin Impact 2018 Thompson - 36,,,,,,
THUR,11:30 AM,36,Epiphany Prince Elite 15U -31,Minnesota Fury 2017 Blue - 41,,,,,,
THUR,11:30 AM,37,Colorado Lady Hawks - 40,ISAA 16U - 50,,,,,,
THUR,11:30 AM,38,A PLUS Black - 60,Purple Aces 16U - 42,,,,,,
THUR,11:30 AM,39,QC Ballers - 52,Katy Rebels Goss 2016 - 67,,,,,,
THUR,11:30 AM,40,Minnesota Fury 2015 Gold,Gateway Basketball Club 17U,,,,,,
THUR,11:30 AM,41,IL Hoop Dreams Collins,Oklahoma Stars 14,,,,,,
THUR,11:30 AM,42,Indy Gym Rats Pink,New Jersey Panthers 15U,,,,,,
THUR,11:30 AM,43,Wisconsin Impact Sid,Erie Saints Chuzie,,,,,,
THUR,11:30 AM,44,New Jersey Panthers 16U Blue,Bulls Elite Black,,,,,,
THUR,11:30 AM,45,Minnesota Fury 2016 Gold,5280 Threat 16U,,,,,,
THUR,11:30 AM,46,Baltimore Starz - 53,Team Under Armour - 23,,,,,,
THUR,12:45 PM,1,Wisconsin Blizzard 15U Moen - 44,Illinois Rockets Rufus - 40,,,,,,
THUR,12:45 PM,2,Michigan Sting 15U - 45,Illinois Hustle 15U - 12,,,,,,
THUR,12:45 PM,3,Rockies 15U Black - 24,Albany Capitals U15 - 45,,,,,,
THUR,12:45 PM,4,So-Minn Fury 2015,New Jersey Panthers 16U White,,,,,,
THUR,12:45 PM,5,Colorado Elite Red 14U,Purple Aces 14U,,,,,,
THUR,12:45 PM,6,Midwest Elite 14U Weissmann - 43,Indy Gym Rats Purple -32,,,,,,
THUR,12:45 PM,7,Team Takeover 15U,New Jersey Sparks 15U,,,,,,
THUR,12:45 PM,8,Minnesota Fury 2017 Gold - 45,Peak Performance Blue - 36,,,,,,
THUR,12:45 PM,9,St. Louis Rockets 15U - 67,Wisconsin Impact 2017 Mattson - 59,,,,,,
THUR,12:45 PM,10,Valhalla - 37,Positive Direction - 34,,,,,,
